taxid,species_taxid,species_name,assembly_accession,source_category,tar_file,member_name,summary_source,refseq_category,assembly_level,genome_size_bp,available_tokens,gc_content,n_fraction,ftp_path,domain,superkingdom,kingdom,phylum,class,order,family,genus,species,full_lineage,human_distance_rank,major_group
9606,9606,Homo sapiens,GCF_000001405.40,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch62.tar,batch62/GCF_000001405.40.fasta.gz,refseq,reference genome,Chromosome,3099441038,3099441038,0.41,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Catarrhini|Hominoidea|Hominidae|Homininae|Homo|Homo sapiens,0,human_primate
10090,10090,Mus musculus,GCF_000001635.27,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch90.tar,batch90/GCF_000001635.27.fasta.gz,refseq,reference genome,Chromosome,2728206152,2728206152,0.42,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.27_GRCm39/,Eukaryota,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Glires|Rodentia|Myomorpha|Muroidea|Muridae|Murinae|Mus|Mus|Mus musculus,4,non_primate_mammal
10116,10116,Rattus norvegicus,GCF_036323735.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch15.tar,batch15/GCF_036323735.1.fasta.gz,refseq,reference genome,Chromosome,2849581192,2849581192,0.42,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/323/735/GCF_036323735.1_GRCr8/,Eukaryota,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Glires|Rodentia|Myomorpha|Muroidea|Muridae|Murinae|Rattus|Rattus norvegicus,4,non_primate_mammal
33548,33548,Colobus guereza,GCA_030247045.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch28.tar,batch28/GCA_030247045.1.fasta.gz,genbank,reference genome,Chromosome,2976664877,2976664877,0.41,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/247/045/GCA_030247045.1_ASM3024704v1/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Colobus,Colobus guereza,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Catarrhini|Cercopithecoidea|Cercopithecidae|Colobinae|Colobus|Colobus guereza,3,human_primate
143351,143351,Microcebus tavaratra,GCA_008750935.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch84.tar,batch84/GCA_008750935.1.fasta.gz,genbank,reference genome,Scaffold,2583971501,2583971501,0.41,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/750/935/GCA_008750935.1_Mtav_1.0/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus,Microcebus tavaratra,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Strepsirrhini|Lemuriformes|Cheirogaleidae|Microcebus|Microcebus tavaratra,3,human_primate
36225,36225,Cercopithecus mitis,GCA_028627265.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch35.tar,batch35/GCA_028627265.1.fasta.gz,genbank,reference genome,Chromosome,3104799808,3104799808,0.41,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/627/265/GCA_028627265.1_Cercopithecus_mitis_HiC/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus mitis,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Catarrhini|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Cercopithecus|Cercopithecus mitis,3,human_primate
122231,122231,Microcebus ravelobensis,GCA_008750975.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch42.tar,batch42/GCA_008750975.1.fasta.gz,genbank,reference genome,Scaffold,2416211825,2416211825,0.41,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/750/975/GCA_008750975.1_Mrav_1.0/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus,Microcebus ravelobensis,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Strepsirrhini|Lemuriformes|Cheirogaleidae|Microcebus|Microcebus ravelobensis,3,human_primate
9493,9493,Cebuella pygmaea,GCA_963575105.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch36.tar,batch36/GCA_963575105.1.fasta.gz,genbank,reference genome,Scaffold,2683481473,2683481473,0.41,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/575/105/GCA_963575105.1_PGDP_CebPyg/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Cebidae,Cebuella,Cebuella pygmaea,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Platyrrhini|Cebidae|Callitrichinae|Cebuella|Cebuella pygmaea,3,human_primate
70825,70825,Cacajao melanocephalus,GCA_963573385.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch78.tar,batch78/GCA_963573385.1.fasta.gz,genbank,reference genome,Scaffold,2613543630,2613543630,0.405,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/573/385/GCA_963573385.1_PGDP_CacMel/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Pitheciidae,Cacajao,Cacajao melanocephalus,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Platyrrhini|Pitheciidae|Pitheciinae|Cacajao|Cacajao melanocephalus,3,human_primate
2715852,2715852,Cebus imitator,GCF_001604975.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch14.tar,batch14/GCF_001604975.1.fasta.gz,refseq,reference genome,Scaffold,2717703182,2717703182,0.405,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/604/975/GCF_001604975.1_Cebus_imitator-1.0/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Cebidae,Cebus,Cebus imitator,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Platyrrhini|Cebidae|Cebinae|Cebus|Cebus imitator,3,human_primate
47177,47177,Cheirogaleus major,GCA_963574435.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch72.tar,batch72/GCA_963574435.1.fasta.gz,genbank,reference genome,Scaffold,2207294751,2207294751,0.405,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/435/GCA_963574435.1_PGDP_CheMaj/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,Cheirogaleus major,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Strepsirrhini|Lemuriformes|Cheirogaleidae|Cheirogaleus|Cheirogaleus major,3,human_primate
9538,9538,Erythrocebus patas,GCA_023783455.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch57.tar,batch57/GCA_023783455.1.fasta.gz,genbank,reference genome,Contig,3096929461,3096929461,0.41,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/783/455/GCA_023783455.1_ASM2378345v1/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Erythrocebus,Erythrocebus patas,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Catarrhini|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Erythrocebus|Erythrocebus patas,3,human_primate
31869,31869,Daubentonia madagascariensis,GCA_023783475.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch72.tar,batch72/GCA_023783475.1.fasta.gz,genbank,na,Contig,2412003188,2412003188,0.4,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/783/475/GCA_023783475.1_ASM2378347v1/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Daubentoniidae,Daubentonia,Daubentonia madagascariensis,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Strepsirrhini|Chiromyiformes|Daubentoniidae|Daubentonia|Daubentonia madagascariensis,3,human_primate
9472,9472,Perodicticus potto,GCA_963574655.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch74.tar,batch74/GCA_963574655.1.fasta.gz,genbank,reference genome,Scaffold,2570903443,2570903443,0.41,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/655/GCA_963574655.1_PGDP_PerPot/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,Perodicticus potto,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Strepsirrhini|Lorisiformes|Lorisidae|Perodicticus|Perodicticus potto,3,human_primate
3134011,3134011,Chiropotes sagulatus,GCA_963574175.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch35.tar,batch35/GCA_963574175.1.fasta.gz,genbank,reference genome,Scaffold,2618095590,2618095590,0.405,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/175/GCA_963574175.1_PGDP_ChiSag/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Pitheciidae,Chiropotes,Chiropotes sagulatus,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Platyrrhini|Pitheciidae|Pitheciinae|Chiropotes|Chiropotes sagulatus,3,human_primate
9519,9519,Lagothrix lagotricha,GCA_963574225.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch64.tar,batch64/GCA_963574225.1.fasta.gz,genbank,reference genome,Scaffold,2582497990,2582497990,0.41,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/225/GCA_963574225.1_PGDP_LagLag/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Atelidae,Lagothrix,Lagothrix lagotricha,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Haplorrhini|Simiiformes|Platyrrhini|Atelidae|Atelinae|Lagothrix|Lagothrix lagotricha,3,human_primate
1328070,1328070,Prolemur simus,GCA_003258685.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch27.tar,batch27/GCA_003258685.1.fasta.gz,genbank,reference genome,Scaffold,2411593676,2411593676,0.41,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/258/685/GCA_003258685.1_Prosim_1.0/,Eukaryota,,Metazoa,Chordata,Mammalia,Primates,Lemuridae,Prolemur,Prolemur simus,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Sarcopterygii|Dipnotetrapodomorpha|Tetrapoda|Amniota|Mammalia|Theria|Eutheria|Boreoeutheria|Euarchontoglires|Primates|Strepsirrhini|Lemuriformes|Lemuridae|Prolemur|Prolemur simus,3,human_primate
