taxid,species_taxid,species_name,assembly_accession,source_category,tar_file,member_name,summary_source,refseq_category,assembly_level,genome_size_bp,available_tokens,gc_content,n_fraction,ftp_path,domain,superkingdom,kingdom,phylum,class,order,family,genus,species,full_lineage,human_distance_rank,major_group
7950,7950,Clupea harengus,GCF_900700415.2,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch15.tar,batch15/GCF_900700415.2.fasta.gz,refseq,reference genome,Chromosome,786308905,786308905,0.44,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/700/415/GCF_900700415.2_Ch_v2.0.2/,Eukaryota,,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Otomorpha|Clupei|Clupeiformes|Clupeoidei|Clupeidae|Clupeinae|Clupea|Clupea harengus,5,non_mammal_vertebrate
54899,54899,Diaporthe longicolla,GCA_000800745.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch45.tar,batch45/GCA_000800745.1.fasta.gz,genbank,na,Scaffold,64714568,64714568,0.485,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/745/GCA_000800745.1_ASM80074v1/,Eukaryota,,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe longicolla,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes|Sordariomycetidae|Diaporthales|Diaporthaceae|Diaporthe|Diaporthe longicolla,7,fungus
485397,485397,Pichiaceae sp. JCM 15000,GCA_001950555.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch36.tar,batch36/GCA_001950555.1.fasta.gz,genbank,na,Scaffold,9213885,9213885,0.49,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/950/555/GCA_001950555.1_JCM_15000_assembly_v001/,Eukaryota,,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,,Pichiaceae sp. JCM 15000,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Pichiomycetes|Pichiales|Pichiaceae|unclassified Pichiaceae|Pichiaceae sp. JCM 15000,7,fungus
2923275,2923275,Zoanthus sanctaehelenae,GCA_028564885.2,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch10.tar,batch10/GCA_028564885.2.fasta.gz,genbank,reference genome,Scaffold,486054230,486054230,0.36,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/564/885/GCA_028564885.2_ASM2856488v2/,Eukaryota,,Metazoa,Cnidaria,Anthozoa,Zoantharia,Zoanthidae,Zoanthus,Zoanthus sanctaehelenae,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Cnidaria|Anthozoa|Hexacorallia|Zoantharia|Zoanthidae|Zoanthus|Zoanthus sanctaehelenae,6,invertebrate_animal
2528333,2528333,Saccharomyces cerevisiae x Saccharomyces eubayanus x Saccharomyces kudriavzevii x Saccharomyces uvarum,GCA_009667055.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch51.tar,batch51/GCA_009667055.1.fasta.gz,genbank,reference genome,Scaffold,30151025,30151025,0.395,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/667/055/GCA_009667055.1_ASM966705v1/,Eukaryota,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae x Saccharomyces eubayanus x Saccharomyces kudriavzevii x Saccharomyces uvarum,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces|Saccharomyces cerevisiae x Saccharomyces eubayanus x Saccharomyces kudriavzevii x Saccharomyces uvarum,7,fungus
2050917,2050917,Physcomitrellopsis africana,GCA_036785485.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch41.tar,batch41/GCA_036785485.1.fasta.gz,genbank,reference genome,Scaffold,436281519,436281519,0.33,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/785/485/GCA_036785485.1_ASM3678548v1/,Eukaryota,,Viridiplantae,Streptophyta,Bryopsida,Funariales,Funariaceae,Physcomitrellopsis,Physcomitrellopsis africana,root|cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Bryophyta|Bryophytina|Bryopsida|Funariidae|Funariales|Funariaceae|Physcomitrellopsis|Physcomitrellopsis africana,7,plant
64609,64609,Ilyonectria destructans,GCA_020740775.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch34.tar,batch34/GCA_020740775.1.fasta.gz,genbank,reference genome,Contig,71715727,71715727,0.505,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/740/775/GCA_020740775.1_Neora1/,Eukaryota,,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,Ilyonectria destructans,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes|Hypocreomycetidae|Hypocreales|Nectriaceae|Ilyonectria|Ilyonectria destructans,7,fungus
49324,49324,Liangdongia dendrica,GCA_030570475.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch85.tar,batch85/GCA_030570475.1.fasta.gz,genbank,reference genome,Contig,12587133,12587133,0.405,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/570/475/GCA_030570475.1_ASM3057047v1/,Eukaryota,,Fungi,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Liangdongia,Liangdongia dendrica,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes|Phaffomycetales|Wickerhamomycetaceae|Liangdongia|Liangdongia dendrica,7,fungus
348027,348027,Drosophila meridionalis,GCA_035045145.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch26.tar,batch26/GCA_035045145.1.fasta.gz,genbank,reference genome,Contig,175405605,175405605,0.385,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/045/145/GCA_035045145.1_ASM3504514v1/,Eukaryota,,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila meridionalis,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Altocrustacea|Allotriocarida|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Eumetabola|Endopterygota|Aparaglossata|Panorpida|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Schizophora|Acalyptratae|Ephydroidea|Drosophilidae|Drosophilinae|Drosophilini|Drosophila|Drosophila|repleta group|mulleri subgroup|Drosophila meridionalis,6,invertebrate_animal
1529436,1529436,Anneissia japonica,GCF_011630105.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch36.tar,batch36/GCF_011630105.1.fasta.gz,refseq,reference genome,Scaffold,589628371,589628371,0.345,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/630/105/GCF_011630105.1_ASM1163010v1/,Eukaryota,,Metazoa,Echinodermata,Crinoidea,Comatulida,Comatulidae,Anneissia,Anneissia japonica,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Echinodermata|Pelmatozoa|Crinoidea|Articulata|Comatulida|Comatulidae|Comatulinae|Anneissia|Anneissia japonica,6,invertebrate_animal
1155016,1155016,Mengenilla moldrzyki,GCA_000281935.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch17.tar,batch17/GCA_000281935.1.fasta.gz,genbank,reference genome,Contig,155727465,155727465,0.285,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/935/GCA_000281935.1_Memo_1.0/,Eukaryota,,Metazoa,Arthropoda,Insecta,Strepsiptera,Mengenillidae,Mengenilla,Mengenilla moldrzyki,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Altocrustacea|Allotriocarida|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Eumetabola|Endopterygota|Aparaglossata|Neuropteroidea|Strepsiptera|Mengenillidia|Mengenilloidea|Mengenillidae|Mengenilla|Mengenilla moldrzyki,6,invertebrate_animal
2820020,2820020,Flectonema sp. DT1601,GCA_964019425.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch69.tar,batch69/GCA_964019425.1.fasta.gz,genbank,na,Chromosome,89545499,89545499,0.395,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/019/425/GCA_964019425.1_peFleSpea1.1/,Eukaryota,,,Euglenozoa,Diplonemea,Diplonemida,Diplonemidae,Flectonema,Flectonema sp. DT1601,root|cellular organisms|Eukaryota|Discoba|Euglenozoa|Diplonemea|Diplonemida|Diplonemidae|Flectonema|unclassified Flectonema|Flectonema sp. DT1601,7,protist_other_eukaryote
105351,105351,Aspergillus awamori,GCA_003850985.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch15.tar,batch15/GCA_003850985.1.fasta.gz,genbank,reference genome,Contig,38597812,38597812,0.495,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/850/985/GCA_003850985.1_Aawm_assembly01/,Eukaryota,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus awamori,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Aspergillaceae|Aspergillus|Aspergillus awamori,7,fungus
1401282,1401282,Ctenobelba pectinigera,GCA_034695105.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch1.tar,batch1/GCA_034695105.1.fasta.gz,genbank,reference genome,Contig,188754411,188754411,0.345,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/695/105/GCA_034695105.1_ASM3469510v1/,Eukaryota,,Metazoa,Arthropoda,Arachnida,Sarcoptiformes,Ctenobelbidae,Ctenobelba,Ctenobelba pectinigera,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Chelicerata|Arachnida|Acari|Acariformes|Sarcoptiformes|Oribatida|Brachypylina|Ameroidea|Ctenobelbidae|Ctenobelba|Ctenobelba pectinigera,6,invertebrate_animal
203079,203079,Taphrina betulina,GCA_008802775.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch50.tar,batch50/GCA_008802775.1.fasta.gz,genbank,reference genome,Scaffold,12483756,12483756,0.5,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/802/775/GCA_008802775.1_ASM880277v1/,Eukaryota,,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina betulina,root|cellular organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|Taphrinomycotina|Taphrinomycetes|Taphrinales|Taphrinaceae|Taphrina|Taphrina betulina,7,fungus
1001274,1001274,Cephus pulcher,GCA_030142455.1,ncbi_eukaryotic_genomes,fasta/ncbi_eukaryotic_genomes/batch64.tar,batch64/GCA_030142455.1.fasta.gz,genbank,reference genome,Scaffold,161216331,161216331,0.405,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/142/455/GCA_030142455.1_ASM3014245v1/,Eukaryota,,Metazoa,Arthropoda,Insecta,Hymenoptera,Cephidae,Cephus,Cephus pulcher,root|cellular organisms|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Altocrustacea|Allotriocarida|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Eumetabola|Endopterygota|Hymenoptera|Cephoidea|Cephidae|Cephus|Cephus pulcher,6,invertebrate_animal
