taxid,species_taxid,species_name,assembly_accession,source_category,tar_file,member_name,summary_source,refseq_category,assembly_level,genome_size_bp,available_tokens,gc_content,n_fraction,ftp_path,domain,superkingdom,kingdom,phylum,class,order,family,genus,species,full_lineage,human_distance_rank,major_group
2306013,2306013,Desulfurobacteriaceae bacterium,GCA_027075275.1,gtdb_v220,fasta/gtdb_v220/v220_update.tar,v220_update/GCA_027075275.1.fasta.gz,genbank,na,Scaffold,1481592,1481592,0.455,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/075/275/GCA_027075275.1_ASM2707527v1/,Bacteria,,Pseudomonadati,Aquificota,Aquificia,Desulfurobacteriales,Desulfurobacteriaceae,,Desulfurobacteriaceae bacterium,root|cellular organisms|Bacteria|Pseudomonadati|Aquificota|Aquificia|Desulfurobacteriales|Desulfurobacteriaceae|unclassified Desulfurobacteriaceae|Desulfurobacteriaceae bacterium,8,bacteria
1898203,1898203,Lachnospiraceae bacterium,GCA_900766815.1,gtdb_v220,fasta/gtdb_v220/v214/batch1.tar,batch1/GCA_900766815.1.fasta.gz,genbank,na,Contig,1683805,1683805,0.44,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/766/815/GCA_900766815.1_SRS475647_113/,Bacteria,,Bacillati,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,,Lachnospiraceae bacterium,root|cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|unclassified Lachnospiraceae|Lachnospiraceae bacterium,8,bacteria
175537,175537,uncultured Helicobacter sp.,GCA_944325775.1,gtdb_v220,fasta/gtdb_v220/v214/batch3.tar,batch3/GCA_944325775.1.fasta.gz,genbank,na,Contig,1702656,1702656,0.445,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/325/775/GCA_944325775.1_BRZ_RA_bin51/,Bacteria,,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,uncultured Helicobacter sp.,root|cellular organisms|Bacteria|Pseudomonadati|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|environmental samples|uncultured Helicobacter sp.,8,bacteria
77133,77133,uncultured bacterium,GCA_913009835.1,gtdb_v220,fasta/gtdb_v220/v214/batch3.tar,batch3/GCA_913009835.1.fasta.gz,genbank,na,Contig,3586192,3586192,0.51,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/913/009/835/GCA_913009835.1_DRR093004_bin.59_MetaBAT_v2.12.1_MAG/,Bacteria,,,,,,,,uncultured bacterium,root|cellular organisms|Bacteria|environmental samples|uncultured bacterium,8,bacteria
2510337,2510337,Sandaracinaceae bacterium,GCA_020633195.1,gtdb_v220,fasta/gtdb_v220/v214/batch1.tar,batch1/GCA_020633195.1.fasta.gz,genbank,na,Contig,9198351,9198351,0.725,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/633/195/GCA_020633195.1_ASM2063319v1/,Bacteria,,Pseudomonadati,Myxococcota,,Polyangiales,Sandaracinaceae,,Sandaracinaceae bacterium,root|cellular organisms|Bacteria|Pseudomonadati|Myxococcota|Polyangia|Polyangiales|Sandaracinaceae|unclassified Sandaracinaceae|Sandaracinaceae bacterium,8,bacteria
2044939,2044939,Clostridia bacterium,GCA_017456055.1,gtdb_v220,fasta/gtdb_v220/v214/batch3.tar,batch3/GCA_017456055.1.fasta.gz,genbank,na,Contig,1385150,1385150,0.365,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/456/055/GCA_017456055.1_ASM1745605v1/,Bacteria,,Bacillati,Bacillota,Clostridia,,,,Clostridia bacterium,root|cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|unclassified Clostridia|Clostridia bacterium,8,bacteria
59823,59823,Prevotella sp.,GCA_017445845.1,gtdb_v220,fasta/gtdb_v220/v214/batch3.tar,batch3/GCA_017445845.1.fasta.gz,genbank,na,Contig,2457347,2457347,0.52,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/445/845/GCA_017445845.1_ASM1744584v1/,Bacteria,,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp.,root|cellular organisms|Bacteria|Pseudomonadati|FCB group|Bacteroidota/Chlorobiota group|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|unclassified Prevotella|Prevotella sp.,8,bacteria
2080302,2080302,Acidimicrobiia bacterium,GCA_016650365.1,gtdb_v220,fasta/gtdb_v220/v214/batch1.tar,batch1/GCA_016650365.1.fasta.gz,genbank,na,Contig,3486287,3486287,0.605,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/650/365/GCA_016650365.1_ASM1665036v1/,Bacteria,,Bacillati,Actinomycetota,Acidimicrobiia,,,,Acidimicrobiia bacterium,root|cellular organisms|Bacteria|Bacillati|Actinomycetota|Acidimicrobiia|unclassified Acidimicrobiia|Acidimicrobiia bacterium,8,bacteria
1883427,1883427,Actinomycetes bacterium,GCA_021781315.1,gtdb_v220,fasta/gtdb_v220/v214/batch1.tar,batch1/GCA_021781315.1.fasta.gz,genbank,na,Scaffold,1732814,1732814,0.695,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/781/315/GCA_021781315.1_ASM2178131v1/,Bacteria,,Bacillati,Actinomycetota,Actinomycetes,,,,Actinomycetes bacterium,root|cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|unclassified Actinomycetes|Actinomycetes bacterium,8,bacteria
172733,172733,uncultured Eubacteriales bacterium,GCA_951801675.1,gtdb_v220,fasta/gtdb_v220/v220_update.tar,v220_update/GCA_951801675.1.fasta.gz,genbank,na,Contig,2358488,2358488,0.555,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/951/801/675/GCA_951801675.1_MGG30646_1680015440/,Bacteria,,Bacillati,Bacillota,Clostridia,Eubacteriales,,,uncultured Eubacteriales bacterium,root|cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|environmental samples|uncultured Eubacteriales bacterium,8,bacteria
2026753,2026753,Legionellaceae bacterium,GCA_947504875.1,gtdb_v220,fasta/gtdb_v220/v220_update.tar,v220_update/GCA_947504875.1.fasta.gz,genbank,na,Contig,2988234,2988234,0.405,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/504/875/GCA_947504875.1_ZH-Jul18-12/,Bacteria,,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,,Legionellaceae bacterium,root|cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Legionellales|Legionellaceae|unclassified Legionellaceae|Legionellaceae bacterium,8,bacteria
348578,348578,uncultured Porphyromonadaceae bacterium,GCA_947175265.1,gtdb_v220,fasta/gtdb_v220/v220_update.tar,v220_update/GCA_947175265.1.fasta.gz,genbank,na,Contig,3247183,3247183,0.47,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/175/265/GCA_947175265.1_SRR14411335_bin.2_metawrap_v1.3_MAG/,Bacteria,,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,,uncultured Porphyromonadaceae bacterium,root|cellular organisms|Bacteria|Pseudomonadati|FCB group|Bacteroidota/Chlorobiota group|Bacteroidota|Bacteroidia|Bacteroidales|Porphyromonadaceae|environmental samples|uncultured Porphyromonadaceae bacterium,8,bacteria
1978231,1978231,Acidobacteriota bacterium,GCA_016716715.1,gtdb_v220,fasta/gtdb_v220/v214/batch3.tar,batch3/GCA_016716715.1.fasta.gz,genbank,na,Contig,4261279,4261279,0.7,0.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/716/715/GCA_016716715.1_ASM1671671v1/,Bacteria,,Pseudomonadati,Acidobacteriota,,,,,Acidobacteriota bacterium,root|cellular organisms|Bacteria|Pseudomonadati|Acidobacteriota|unclassified Acidobacteriota|Acidobacteriota bacterium,8,bacteria
